Rank,Player,Avg Pick,Team,Pos,UID
82,Reggie Wayne,88.22,IND,WR,ReggieWayne82
83,Golden Tate,88.70,DET,WR,GoldenTate83
84,Brandin Cooks,89.99,NOS,WR,BrandinCooks84
85,Jay Cutler,90.85,CHI,QB,JayCutler85
86,Terrance Williams,91.19,DAL,WR,TerranceWilliams86
87,Maurice Jones-Drew,91.40,OAK,RB,MauriceJonesDrew87
88,Dennis Pitta,92.47,BAL,TE,DennisPitta88
89,Russell Wilson,93.21,SEA,QB,RussellWilson89
90,Tony Romo,94.32,DAL,QB,TonyRomo90
91,Stevan Ridley,96.29,NEP,RB,StevanRidley91
92,Steven Jackson,98.14,ATL,RB,StevenJackson92
93,Lamar Miller,98.43,MIA,RB,LamarMiller93
94,Knowshon Moreno,99.46,MIA,RB,KnowshonMoreno94
95,Darren Sproles,100.02,PHI,RB,DarrenSproles95
96,Mike Evans,101.49,TBB,WR,MikeEvans96
97,Zach Ertz,101.52,PHI,TE,ZachErtz97
98,DeAndre Hopkins,105.74,HOU,WR,DeAndreHopkins98
99,Danny Woodhead,106.14,SDC,RB,DannyWoodhead99
100,Philip Rivers,106.54,SDC,QB,PhilipRivers100
101,Kelvin Benjamin,107.11,CAR,WR,KelvinBenjamin101
102,Dwayne Bowe,109.41,KCC,WR,DwayneBowe102
103,Carlos Hyde,109.53,SFO,RB,CarlosHyde103
104,Fred Jackson,109.76,BUF,RB,FredJackson104
105,Rueben Randle,110.97,NYG,WR,RuebenRandle105
107,Riley Cooper,114.28,PHI,WR,RileyCooper107
108,Justin Hunter,116.98,TEN,WR,JustinHunter108
109,Andy Dalton,117.22,CIN,QB,AndyDalton109
110,Martellus Bennett,117.34,CHI,TE,MartellusBennett110
111,Bernard Pierce,118.02,BAL,RB,BernardPierce111
113,Anquan Boldin,119.93,SFO,WR,AnquanBoldin113
114,Cecil Shorts,120.50,JAC,WR,CecilShorts114
115,Tavon Austin,120.75,STL,WR,TavonAustin115
116,Devonta Freeman,121.46,ATL,RB,DevontaFreeman116
117,Ladarius Green,123.05,SDC,TE,LadariusGreen117
118,Ben Roethlisberger,124.99,PIT,QB,BenRoethlisberger118
119,Jeremy Hill,125.66,CIN,RB,JeremyHill119
120,Hakeem Nicks,125.96,IND,WR,HakeemNicks120
122,Charles Clay,129.32,MIA,TE,CharlesClay122
123,Terrance West,129.47,CLE,RB,TerranceWest123
125,Danny Amendola,131.05,NEP,WR,DannyAmendola125
126,Darren McFadden,131.05,OAK,RB,DarrenMcFadden126
127,Mark Ingram,132.15,NOS,RB,MarkIngram127
129,Jordan Matthews,133.45,PHI,WR,JordanMatthews129
130,DeAngelo Williams,133.51,CAR,RB,DeAngeloWilliams130
131,Christine Michael,135.90,SEA,RB,ChristineMichael131
133,Eric Ebron,136.14,DET,TE,EricEbron133
134,Kenny Stills,137.26,NOS,WR,KennyStills134
135,Markus Wheaton,137.33,PIT,WR,MarkusWheaton135
137,Greg Jennings,141.40,MIN,WR,GregJennings137
138,Antonio Gates,142.07,SDC,TE,AntonioGates138
140,Khiry Robinson,144.70,NOS,RB,KhiryRobinson140
141,Heath Miller,144.73,PIT,TE,HeathMiller141
142,Carson Palmer,144.98,ARI,QB,CarsonPalmer142
143,Jarrett Boykin,145.18,GBP,WR,JarrettBoykin143
145,Andre Williams,146.98,NYG,RB,AndreWilliams145
146,Ryan Tannehill,147.35,MIA,QB,RyanTannehill146
148,Marvin Jones,148.38,CIN,WR,MarvinJones148
149,Steve Smith,148.83,BAL,WR,SteveSmith149
150,Alex Smith,149.40,KCC,QB,AlexSmith150
151,Brian Hartline,149.66,MIA,WR,BrianHartline151
152,Tyler Eifert,150.98,CIN,TE,TylerEifert152
153,Aaron Dobson,152.18,NEP,WR,AaronDobson153
156,Dwayne Allen,154.34,IND,TE,DwayneAllen156
157,James Jones,155.50,OAK,WR,JamesJones157
158,Delanie Walker,156.42,TEN,TE,DelanieWalker158
159,Eli Manning,156.69,NYG,QB,EliManning159
160,Marqise Lee,156.88,JAC,WR,MarqiseLee160
161,Joe Flacco,157.43,BAL,QB,JoeFlacco161
162,Travis Kelce,158.77,KCC,TE,TravisKelce162
163,Kenny Britt,160.06,STL,WR,KennyBritt163
164,Tre Mason,160.39,STL,RB,TreMason164
165,Chris Ivory,160.92,NYJ,RB,ChrisIvory165
166,Knile Davis,160.93,KCC,RB,KnileDavis166
167,Johnny Manziel,161.11,CLE,QB,JohnnyManziel167
168,David Wilson,161.27,FA,RB,DavidWilson168
171,Doug Baldwin,165.38,SEA,WR,DougBaldwin171
172,Jonathan Stewart,166.62,CAR,RB,JonathanStewart172
173,LeGarrette Blount,166.76,NEP,RB,LeGarretteBlount173
175,Ahmad Bradshaw,168.06,IND,RB,AhmadBradshaw175
177,Lance Dunbar,169.83,DAL,RB,LanceDunbar177
179,Odell Beckham,171.17,NYG,WR,OdellBeckham179
180,Andrew Hawkins,173.09,CLE,WR,AndrewHawkins180
181,Robert Woods,173.40,BUF,WR,RobertWoods181
182,Josh McCown,174.14,TBB,QB,JoshMcCown182
184,Sam Bradford,174.84,STL,QB,SamBradford184
185,Coby Fleener,175.17,IND,TE,CobyFleener185
186,Cody Latimer,175.31,DEN,WR,CodyLatimer186
187,James White,175.83,NEP,RB,JamesWhite187
190,Shonn Greene,177.71,TEN,RB,ShonnGreene190
191,Jared Cook,179.05,STL,TE,JaredCook191
193,Garrett Graham,180.29,HOU,TE,GarrettGraham193
194,Miles Austin,180.41,CLE,WR,MilesAustin194
197,Austin Seferian-Jenkins,183.49,TBB,TE,AustinSeferianJenkins197
198,Tim Wright,183.97,NEP,TE,TimWright198
200,Ka'Deem Carey,184.99,CHI,RB,KaDeemCarey200
201,Jonathan Grimes,185.27,HOU,RB,JonathanGrimes201
202,Harry Douglas,186.07,ATL,WR,HarryDouglas202
204,Andre Brown,186.98,FA,RB,AndreBrown204
205,Dexter McCluster,187.06,TEN,RB,DexterMcCluster205
207,Jake Locker,188.18,TEN,QB,JakeLocker207
210,Teddy Bridgewater,189.78,MIN,QB,TeddyBridgewater210
212,Charles Sims,190.14,TBB,RB,CharlesSims212
213,Jace Amaro,190.52,NYJ,TE,JaceAmaro213
214,Marcus Lattimore,190.64,FA,RB,MarcusLattimore214
215,Bryce Brown,191.21,BUF,RB,BryceBrown215
216,Roy Helu,191.35,WAS,RB,RoyHelu216
218,Rod Streater,191.78,OAK,WR,RodStreater218
219,James Starks,192.37,GBP,RB,JamesStarks219
221,Ronnie Hillman,192.81,DEN,RB,RonnieHillman221
223,E.J. Manuel,193.35,BUF,QB,EJManuel223
224,Stevie Johnson,193.94,SFO,WR,StevieJohnson224
225,Geno Smith,194.09,NYJ,QB,GenoSmith225
226,Malcom Floyd,194.73,SDC,WR,MalcomFloyd226
227,Donald Brown,195.36,SDC,RB,DonaldBrown227
228,Blake Bortles,195.68,JAC,QB,BlakeBortles228
229,Richard Rodgers,195.76,GBP,TE,RichardRodgers229
230,Davante Adams,197.51,GBP,WR,DavanteAdams230
231,John Brown,197.96,ARI,WR,JohnBrown231
232,C.J. Anderson,199.71,DEN,RB,CJAnderson232
233,Jerricho Cotchery,200.60,CAR,WR,JerrichoCotchery233
234,Jacquizz Rodgers,200.82,ATL,RB,JacquizzRodgers234
235,Brandon LaFell,201.87,NEP,WR,BrandonLaFell235
236,Benny Cunningham,202.16,STL,RB,BennyCunningham236
237,Allen Robinson,202.21,JAC,WR,AllenRobinson237
238,Mohamed Sanu,202.37,CIN,WR,MohamedSanu238
239,Kenbrell Thompkins,204.31,OAK,WR,KenbrellThompkins239
241,Derek Carr,204.79,OAK,QB,DerekCarr241
243,Matt Cassel,204.94,MIN,QB,MattCassel243
246,Ryan Fitzpatrick,205.65,HOU,QB,RyanFitzpatrick246
247,Shaun Hill,206.48,STL,QB,ShaunHill247
248,Allen Hurns,207.12,JAC,WR,AllenHurns248
249,Mike Williams,207.56,FA,WR,MikeWilliams249
250,Latavius Murray,209.01,OAK,RB,LataviusMurray250
251,Denarius Moore,209.11,OAK,WR,DenariusMoore251
252,Brent Celek,209.91,PHI,TE,BrentCelek252
253,Andre Holmes,210.12,OAK,WR,AndreHolmes253
254,Lache Seastrunk,211.08,TEN,RB,LacheSeastrunk254
257,Dri Archer,213.93,PIT,RB,DriArcher257
259,Marquess Wilson,214.12,CHI,WR,MarquessWilson259
260,Donte Moncrief,214.67,IND,WR,DonteMoncrief260
261,Jerick McKinnon,214.82,MIN,RB,JerickMcKinnon261
262,Isaiah Crowell,215.07,CLE,RB,IsaiahCrowell262
263,Matt Schaub,215.09,OAK,QB,MattSchaub263
264,Michael Vick,215.25,NYJ,QB,MichaelVick264
268,Da'Rick Rogers,218.41,KCC,WR,DaRickRogers268
269,Marcedes Lewis,218.64,JAC,TE,MarcedesLewis269
270,Martavis Bryant,219.46,PIT,WR,MartavisBryant270
271,Alfred Blue,219.83,HOU,RB,AlfredBlue271
273,Andre Caldwell,220.96,DEN,WR,AndreCaldwell273
274,Robert Turbin,221.09,SEA,RB,RobertTurbin274
275,BenJarvus Green-Ellis,221.16,FA*,RB,BenJarvusGreenEllis275
277,Jarvis Landry,222.41,MIA,WR,JarvisLandry277
278,Levine Toilolo,222.82,ATL,TE,LevineToilolo278
279,Andrew Quarless,222.91,GBP,TE,AndrewQuarless279
283,Brian Hoyer,225.16,CLE,QB,BrianHoyer283
284,Jermaine Kearse,225.35,SEA,WR,JermaineKearse284
285,Stepfan Taylor,225.74,ARI,RB,StepfanTaylor285
286,Paul Richardson,225.79,SEA,WR,PaulRichardson286
287,Marlon Brown,225.86,BAL,WR,MarlonBrown287
290,Storm Johnson,227.16,JAC,RB,StormJohnson290
291,Chris Polk,227.38,PHI,RB,ChrisPolk291
293,Joseph Fauria,227.99,DET,TE,JosephFauria293
294,Jermichael Finley,228.72,FA*,TE,JermichaelFinley294
295,Jerrel Jernigan,228.82,NYG,WR,JerrelJernigan295
296,Lorenzo Taliaferro,229.01,BAL,RB,LorenzoTaliaferro296
297,De'Anthony Thomas,229.44,KCC,RB,DeAnthonyThomas297
299,Jermaine Gresham,230.24,CIN,TE,JermaineGresham299
300,Mike Tolbert,230.31,CAR,RB,MikeTolbert300
304,Nate Washington,232.94,TEN,WR,NateWashington304
305,Bobby Rainey,233.22,TBB,RB,BobbyRainey305
306,Brian Quick,234.50,STL,WR,BrianQuick306
307,Jordan Todman,235.51,JAC,RB,JordanTodman307
309,Scott Chandler,236.64,BUF,TE,ScottChandler309
310,Owen Daniels,237.87,BAL,TE,OwenDaniels310
311,Theo Riddick,239.80,DET,RB,TheoRiddick311
313,Lance Moore,240.13,PIT,WR,LanceMoore313
314,Mychal Rivera,240.30,OAK,TE,MychalRivera314
315,Brandon Bostick,240.67,GBP,TE,BrandonBostick315
317,Kirk Cousins,242.38,WAS,QB,KirkCousins317
319,Stephen Hill,244.31,CAR,WR,StephenHill319
321,Charles Johnson,246.21,MIN,WR,CharlesJohnson321
322,Stedman Bailey,247.49,STL,WR,StedmanBailey322
323,Gavin Escobar,248.00,DAL,TE,GavinEscobar323
325,Andre Roberts,249.97,WAS,WR,AndreRoberts325
327,Jeremy Kerley,251.57,NYJ,WR,JeremyKerley327
