Rank,Player,Avg Pick,Team,Pos,UID
71,Matthew Stafford,90.45,DET,QB,MatthewStafford71
72,Robert Woods,91.68,LAR,WR,RobertWoods72
73,Trey Burton,92.58,CHI,TE,TreyBurton73
74,Ben Roethlisberger,92.88,PIT,QB,BenRoethlisberger74
75,Philip Rivers,93.82,LAC,QB,PhilipRivers75
76,Tarik Cohen,93.88,CHI,RB,TarikCohen76
77,Devin Funchess,94.80,CAR,WR,DevinFunchess77
78,Duke Johnson,97.00,CLE,RB,DukeJohnson78
79,Matt Ryan,98.76,ATL,QB,MattRyan79
80,Marlon Mack,100.84,IND,RB,MarlonMack80
81,DeVante Parker,103.22,MIA,WR,DeVanteParker81
82,Ronald Jones,103.65,TBB,RB,RonaldJones82
83,Robby Anderson,103.76,NYJ,WR,RobbyAnderson83
84,Jared Goff,104.43,LAR,QB,JaredGoff84
86,Chris Thompson,106.35,WAS,RB,ChrisThompson86
87,Jamison Crowder,106.91,WAS,WR,JamisonCrowder87
88,Adrian Peterson,108.10,WAS,RB,AdrianPeterson88
90,Patrick Mahomes,110.43,KCC,QB,PatrickMahomes90
91,Chris Carson,110.75,SEA,RB,ChrisCarson91
92,Nelson Agholor,110.76,PHI,WR,NelsonAgholor92
93,Randall Cobb,110.99,GBP,WR,RandallCobb93
95,David Njoku,113.97,CLE,TE,DavidNjoku95
96,Sterling Shepard,117.15,NYG,WR,SterlingShepard96
97,Peyton Barber,117.73,TBB,RB,PeytonBarber97
98,Kenny Stills,118.10,MIA,WR,KennyStills98
100,Nick Chubb,122.70,CLE,RB,NickChubb100
102,Dak Prescott,123.94,DAL,QB,DakPrescott102
103,James White,126.14,NEP,RB,JamesWhite103
104,Marcus Mariota,126.26,TEN,QB,MarcusMariota104
105,Alfred Morris,127.26,SFO,RB,AlfredMorris105
106,Kelvin Benjamin,130.18,KCC,WR,KelvinBenjamin106
107,Keelan Cole,130.31,JAC,WR,KeelanCole107
109,D.J. Moore,131.08,CAR,WR,DJMoore109
110,Derek Carr,131.21,OAK,QB,DerekCarr110
111,Calvin Ridley,131.85,ATL,WR,CalvinRidley111
112,George Kittle,133.19,SFO,TE,GeorgeKittle112
114,Mike Williams,133.98,LAC,WR,MikeWilliams114
116,Giovani Bernard,134.91,CIN,RB,GiovaniBernard116
117,C.J. Anderson,135.80,LAR,RB,CJAnderson117
118,Devontae Booker,139.65,DEN,RB,DevontaeBooker118
119,Jameis Winston,140.21,TBB,QB,JameisWinston119
121,Kenny Golladay,142.43,DET,WR,KennyGolladay121
122,Josh Doctson,142.66,WAS,WR,JoshDoctson122
123,Latavius Murray,142.93,MIN,RB,LataviusMurray123
126,Ty Montgomery,144.39,BAL,RB,TyMontgomery126
127,Mitchell Trubisky,145.51,CHI,QB,MitchellTrubisky127
128,Blake Bortles,148.58,JAC,QB,BlakeBortles128
130,Michael Gallup,150.33,DAL,WR,MichaelGallup130
131,Tyler Lockett,150.94,SEA,WR,TylerLockett131
132,Ted Ginn Jr.,152.60,NOS,WR,TedGinnJr132
134,Mohamed Sanu,153.59,ATL,WR,MohamedSanu134
135,Case Keenum,153.79,DEN,QB,CaseKeenum135
136,Eli Manning,153.84,NYG,QB,EliManning136
138,Anthony Miller,155.52,CHI,WR,AnthonyMiller138
139,D'Onta Foreman,155.61,HOU,RB,DOntaForeman139
141,Baker Mayfield,157.03,CLE,QB,BakerMayfield141
142,DeSean Jackson,157.60,TBB,WR,DeSeanJackson142
144,Chris Godwin,158.57,TBB,WR,ChrisGodwin144
145,Eric Ebron,159.42,IND,TE,EricEbron145
147,Mike Gesicki,159.86,MIA,TE,MikeGesicki147
148,Nyheim Hines,161.38,IND,RB,NyheimHines148
150,Lamar Jackson,161.76,BAL,QB,LamarJackson150
151,Courtland Sutton,162.33,DEN,WR,CourtlandSutton151
152,Jared Cook,162.61,OAK,TE,JaredCook152
154,Josh Rosen,163.34,ARI,QB,JoshRosen154
156,Theo Riddick,164.31,DET,RB,TheoRiddick156
158,Tyrell Williams,165.29,LAC,WR,TyrellWilliams158
159,John Ross,165.58,CIN,WR,JohnRoss159
160,Sam Darnold,165.58,NYJ,QB,SamDarnold160
161,Tyrod Taylor,166.39,CLE,QB,TyrodTaylor161
162,James Conner,166.50,PIT,RB,JamesConner162
163,Ryan Tannehill,168.06,MIA,QB,RyanTannehill163
164,Vance McDonald,168.11,PIT,TE,VanceMcDonald164
165,Jordan Wilkins,168.49,IND,RB,JordanWilkins165
166,Cameron Brate,169.80,TBB,TE,CameronBrate166
167,Charles Clay,170.68,BUF,TE,CharlesClay167
169,Javorius Allen,170.92,BAL,RB,JavoriusAllen169
172,Hayden Hurst,172.83,BAL,TE,HaydenHurst172
173,Doug Martin,172.86,OAK,RB,DougMartin173
174,Joe Flacco,173.93,BAL,QB,JoeFlacco174
175,Austin Hooper,175.20,ATL,TE,AustinHooper175
176,Dede Westbrook,175.64,JAC,WR,DedeWestbrook176
177,John Brown,176.08,BAL,WR,JohnBrown177
178,LeGarrette Blount,176.21,DET,RB,LeGarretteBlount178
179,T.J. Yeldon,176.88,JAC,RB,TJYeldon179
180,James Washington,177.10,PIT,WR,JamesWashington180
183,Antonio Gates,178.63,LAC,TE,AntonioGates183
184,Austin Ekeler,180.07,LAC,RB,AustinEkeler184
187,Kalen Ballage,181.55,MIA,RB,KalenBallage187
188,Ricky Seals-Jones,182.01,ARI,TE,RickySealsJones188
190,Spencer Ware,182.98,KCC,RB,SpencerWare190
194,Josh Allen,185.65,BUF,QB,JoshAllen194
198,Danny Amendola,188.24,MIA,WR,DannyAmendola198
199,Dallas Goedert,188.35,PHI,TE,DallasGoedert199
200,Ben Watson,188.55,NOS,TE,BenWatson200
201,Donte Moncrief,188.80,JAC,WR,DonteMoncrief201
202,Sam Bradford,189.70,FA,QB,SamBradford202
205,Chris Ivory,192.71,BUF,RB,ChrisIvory205
206,Jordan Matthews,192.94,PHI,WR,JordanMatthews206
213,Kenneth Dixon,198.32,BAL,RB,KennethDixon213
214,Samaje Perine,198.84,WAS,RB,SamajePerine214
216,Tre'Quan Smith,204.92,NOS,WR,TreQuanSmith216
217,John Kelly,205.54,LAR,RB,JohnKelly217
218,Corey Coleman,205.93,NYG,WR,CoreyColeman218
222,Cole Beasley,208.37,DAL,WR,ColeBeasley222
224,Nick Vannett,208.71,SEA,TE,NickVannett224
225,Chase Edmonds,208.94,ARI,RB,ChaseEdmonds225
227,Taywan Taylor,210.31,TEN,WR,TaywanTaylor227
228,Antonio Callaway,211.37,CLE,WR,AntonioCallaway228
229,Vernon Davis,213.21,WAS,TE,VernonDavis229
231,Ryan Grant,217.84,IND,WR,RyanGrant231
232,D.J. Chark,218.08,JAC,WR,DJChark232
233,Nick Foles,218.34,PHI,QB,NickFoles233
234,Mike Wallace,218.41,PHI,WR,MikeWallace234
235,Gerald Everett,221.02,LAR,TE,GeraldEverett235
236,Rod Smith,222.60,DAL,RB,RodSmith236
237,Phillip Dorsett,222.69,NEP,WR,PhillipDorsett237
238,Jermaine Kearse,223.30,NYJ,WR,JermaineKearse238
239,Ameer Abdullah,224.25,MIN,RB,AmeerAbdullah239
240,DeMarco Murray,224.81,FA,RB,DeMarcoMurray240
241,Darren Sproles,225.67,PHI,RB,DarrenSproles241
242,Josh McCown,225.70,NYJ,QB,JoshMcCown242
243,Eric Decker,225.86,FA,WR,EricDecker243
244,Keke Coutee,226.98,HOU,WR,KekeCoutee244
245,Tavon Austin,231.04,DAL,WR,TavonAustin245
246,Luke Willson,231.92,DET,TE,LukeWillson246
247,Equanimeous St. Brown,232.27,GBP,WR,EquanimeousStBrown247
248,Terrelle Pryor,232.92,FA,WR,TerrellePryor248
249,Mason Rudolph,233.07,PIT,QB,MasonRudolph249
250,Zay Jones,233.08,BUF,WR,ZayJones250
251,A.J. McCarron,234.57,OAK,QB,AJMcCarron251
252,Jaylen Samuels,236.74,PIT,RB,JaylenSamuels252
253,Elijah McGuire,237.02,NYJ,RB,ElijahMcGuire253
254,J'Mon Moore,237.68,GBP,WR,JMonMoore254
255,DaeSean Hamilton,238.37,DEN,WR,DaeSeanHamilton255
256,Mark Andrews,238.66,BAL,TE,MarkAndrews256
257,Ryan Fitzpatrick,239.51,TBB,QB,RyanFitzpatrick257
258,Cordarrelle Patterson,240.47,NEP,WR,CordarrellePatterson258
259,Mark Walton,242.26,CIN,RB,MarkWalton259
260,Kevin White,242.44,CHI,WR,KevinWhite260
261,Justin Jackson,244.38,LAC,RB,JustinJackson261
262,Brandon Marshall,244.46,FA,WR,BrandonMarshall262
263,Willie Snead,245.22,BAL,WR,WillieSnead263
264,Ryan Griffin,246.24,HOU,TE,RyanGriffin264
265,Wayne Gallman,247.10,NYG,RB,WayneGallman265
266,Adam Shaheen,247.17,CHI,TE,AdamShaheen266
267,Teddy Bridgewater,247.93,NOS,QB,TeddyBridgewater267
268,Virgil Green,248.32,LAC,TE,VirgilGreen268
269,Jesse James,248.55,PIT,TE,JesseJames269
270,Ed Dickson,250.29,SEA,TE,EdDickson270
271,Adam Humphries,251.38,TBB,WR,AdamHumphries271
272,Travis Benjamin,251.71,LAC,WR,TravisBenjamin272
273,Jacoby Brissett,251.88,IND,QB,JacobyBrissett273
274,Bo Scarbrough,254.06,SEA,RB,BoScarbrough274
275,Curtis Samuel,254.13,CAR,WR,CurtisSamuel275
276,Trent Taylor,255.63,SFO,WR,TrentTaylor276
277,Laquon Treadwell,257.20,MIN,WR,LaquonTreadwell277
278,Taylor Gabriel,257.39,CHI,WR,TaylorGabriel278
279,Jonathan Williams,257.90,IND,RB,JonathanWilliams279
280,Blake Jarwin,259.68,DAL,TE,BlakeJarwin280
281,Ian Thomas,261.58,CAR,TE,IanThomas281
282,Alfred Blue,261.88,HOU,RB,AlfredBlue282
283,Boston Scott,262.21,PHI,RB,BostonScott283
284,Rico Gathers,262.28,DAL,TE,RicoGathers284
285,Joe Williams,264.46,FA,RB,JoeWilliams285
286,Chad Williams,264.89,ARI,WR,ChadWilliams286
287,Chester Rogers,267.97,IND,WR,ChesterRogers287
288,Mike Gillislee,268.44,FA*,RB,MikeGillislee288
289,Malcolm Mitchell,272.97,FA,WR,MalcolmMitchell289
290,Jaron Brown,276.23,SEA,WR,JaronBrown290
291,Jordan Akins,277.98,HOU,TE,JordanAkins291
292,Stephen Anderson,280.83,NEP,TE,StephenAnderson292
293,Torrey Smith,281.74,CAR,WR,TorreySmith293
294,Josh Adams,282.60,PHI,RB,JoshAdams294
295,Tyler Higbee,287.01,LAR,TE,TylerHigbee295
296,Jalen Richard,289.30,OAK,RB,JalenRichard296
297,Marquez Valdes-Scantling,289.50,GBP,WR,MarquezValdesScantling297
298,J.J. Nelson,291.01,ARI,WR,JJNelson298
299,Brice Butler,292.31,MIA,WR,BriceButler299
