Rank,Player,Avg Pick,Team,Pos,UID
108,Kyle Rudolph,121.04,MIN,TE,KyleRudolph108
109,Matt Breida,121.14,SFO,RB,MattBreida109
111,T.J. Hockenson,124.52,DET,TE,TJHockenson111
113,Jaylen Samuels,125.73,PIT,RB,JaylenSamuels113
114,Mitchell Trubisky,126.31,CHI,QB,MitchellTrubisky114
116,James Washington,127.40,PIT,WR,JamesWashington116
118,Jimmy Garoppolo,129.76,SFO,QB,JimmyGaroppolo118
119,Donte Moncrief,129.93,FA,WR,DonteMoncrief119
120,Adrian Peterson,129.97,WAS,RB,AdrianPeterson120
121,Greg Olsen,130.23,CAR,TE,GregOlsen121
122,John Brown,131.72,BUF,WR,JohnBrown122
123,Josh Allen,132.29,BUF,QB,JoshAllen123
125,N'Keal Harry,133.13,NEP,WR,NKealHarry125
126,DK Metcalf,133.82,SEA,WR,DKMetcalf126
127,Michael Gallup,133.90,DAL,WR,MichaelGallup127
128,Tony Pollard,134.11,DAL,RB,TonyPollard128
129,Trey Burton,136.23,CHI,TE,TreyBurton129
131,Ronald Jones,137.28,TBB,RB,RonaldJones131
133,Mark Andrews,139.18,BAL,TE,MarkAndrews133
134,Sam Darnold,139.44,NYJ,QB,SamDarnold134
135,Golden Tate,139.68,NYG,WR,GoldenTate135
136,Matthew Stafford,140.51,DET,QB,MatthewStafford136
137,Jimmy Graham,141.52,GBP,TE,JimmyGraham137
138,Dion Lewis,141.61,TEN,RB,DionLewis138
139,Anthony Miller,141.99,CHI,WR,AnthonyMiller139
140,Derek Carr,142.10,OAK,QB,DerekCarr140
141,Darwin Thompson,143.03,KCC,RB,DarwinThompson141
143,Keke Coutee,143.94,HOU,WR,KekeCoutee143
144,Justice Hill,145.50,BAL,RB,JusticeHill144
145,Andy Dalton,148.04,CIN,QB,AndyDalton145
147,Justin Jackson,150.35,LAC,RB,JustinJackson147
148,Nyheim Hines,150.35,IND,RB,NyheimHines148
149,Marcus Mariota,150.87,TEN,QB,MarcusMariota149
151,Tyrell Williams,151.52,OAK,WR,TyrellWilliams151
152,Ito Smith,151.82,ATL,RB,ItoSmith152
153,Alexander Mattison,151.97,MIN,RB,AlexanderMattison153
154,Damien Harris,152.29,NEP,RB,DamienHarris154
155,Nick Foles,152.33,JAC,QB,NickFoles155
157,Dallas Goedert,153.10,PHI,TE,DallasGoedert157
158,D'Onta Foreman,153.41,FA,RB,DOntaForeman158
159,DeVante Parker,153.66,MIA,WR,DeVanteParker159
163,Noah Fant,155.09,DEN,TE,NoahFant163
164,Carlos Hyde,155.30,HOU,RB,CarlosHyde164
165,Jamison Crowder,156.27,NYJ,WR,JamisonCrowder165
166,Mohamed Sanu,156.51,NEP,WR,MohamedSanu166
168,Dwayne Haskins,158.05,WAS,QB,DwayneHaskins168
171,Darren Waller,162.52,OAK,TE,DarrenWaller171
172,Jack Doyle,162.72,IND,TE,JackDoyle172
174,Mecole Hardman,164.51,KCC,WR,MecoleHardman174
175,Joe Flacco,164.81,DEN,QB,JoeFlacco175
177,Deebo Samuel,166.07,SFO,WR,DeeboSamuel177
180,Marquise Brown,167.73,BAL,WR,MarquiseBrown180
181,Jason Witten,168.21,DAL,TE,JasonWitten181
182,A.J. Brown,168.79,TEN,WR,AJBrown182
183,Chris Thompson,168.94,WAS,RB,ChrisThompson183
184,Tre'Quan Smith,169.25,NOS,WR,TreQuanSmith184
187,Tyler Eifert,170.89,CIN,TE,TylerEifert187
190,Jacoby Brissett,173.09,IND,QB,JacobyBrissett190
191,Kenny Stills,173.09,HOU,WR,KennyStills191
192,Ted Ginn Jr.,175.87,NOS,WR,TedGinnJr192
194,Giovani Bernard,176.92,CIN,RB,GiovaniBernard194
195,Jamaal Williams,177.15,GBP,RB,JamaalWilliams195
196,Chris Moore,177.54,BAL,WR,ChrisMoore196
197,Josh Rosen,177.63,MIA,QB,JoshRosen197
199,C.J. Anderson,180.51,FA,RB,CJAnderson199
200,Daniel Jones,180.56,NYG,QB,DanielJones200
205,Andy Isabella,183.16,ARI,WR,AndyIsabella205
206,DaeSean Hamilton,183.24,DEN,WR,DaeSeanHamilton206
207,Eli Manning,184.35,NYG,QB,EliManning207
210,JJ Arcega-Whiteside,186.18,PHI,WR,JJArcegaWhiteside210
212,Mike Gesicki,189.57,MIA,TE,MikeGesicki212
213,Zay Jones,189.72,OAK,WR,ZayJones213
214,Jalen Richard,190.71,OAK,RB,JalenRichard214
215,Chase Edmonds,191.70,ARI,RB,ChaseEdmonds215
216,Albert Wilson,192.29,MIA,WR,AlbertWilson216
218,Adam Humphries,192.93,TEN,WR,AdamHumphries218
219,Irv Smith Jr.,194.79,MIN,TE,IrvSmithJr219
223,Hakeem Butler,195.95,ARI,WR,HakeemButler223
224,Ty Montgomery,196.15,NYJ,RB,TyMontgomery224
225,Ryan Fitzpatrick,197.42,MIA,QB,RyanFitzpatrick225
227,Nelson Agholor,198.48,PHI,WR,NelsonAgholor227
229,Dare Ogunbowale,198.75,TBB,RB,DareOgunbowale229
230,Mike Davis,199.57,CAR,RB,MikeDavis230
231,Malcolm Brown,199.94,LAR,RB,MalcolmBrown231
233,Drew Lock,200.16,DEN,QB,DrewLock233
234,Gus Edwards,200.94,BAL,RB,GusEdwards234
236,Miles Boykin,202.41,BAL,WR,MilesBoykin236
237,Robert Foster,203.12,BUF,WR,RobertFoster237
239,Ian Thomas,204.21,CAR,TE,IanThomas239
241,T.J. Yeldon,205.42,BUF,RB,TJYeldon241
242,Cole Beasley,205.61,BUF,WR,ColeBeasley242
243,Ryquell Armstead,206.68,JAC,RB,RyquellArmstead243
244,Frank Gore,207.91,BUF,RB,FrankGore244
245,Randall Cobb,208.52,DAL,WR,RandallCobb245
247,Terry McLaurin,211.48,WAS,WR,TerryMcLaurin247
248,Cameron Brate,211.65,TBB,TE,CameronBrate248
249,Demaryius Thomas,213.34,NYJ,WR,DemaryiusThomas249
250,Willie Snead,214.36,BAL,WR,WillieSnead250
252,Gerald Everett,215.64,LAR,TE,GeraldEverett252
253,John Ross,216.27,CIN,WR,JohnRoss253
254,Diontae Johnson,216.49,PIT,WR,DiontaeJohnson254
255,Jakobi Meyers,216.95,NEP,WR,JakobiMeyers255
256,Case Keenum,217.90,WAS,QB,CaseKeenum256
257,Benny Snell,218.39,PIT,RB,BennySnell257
259,Jace Sternberger,220.47,GBP,TE,JaceSternberger259
261,Josh Doctson,222.14,FA,WR,JoshDoctson261
262,D.J. Chark,222.24,JAC,WR,DJChark262
263,Rashard Higgins,222.67,CLE,WR,RashardHiggins263
264,Dontrell Hilliard,224.30,CLE,RB,DontrellHilliard264
265,Hunter Renfrow,227.53,OAK,WR,HunterRenfrow265
266,Rob Gronkowski,229.04,FA*,TE,RobGronkowski266
268,Dexter Williams,229.43,GBP,RB,DexterWilliams268
269,Ben Watson,229.80,FA,TE,BenWatson269
270,Rex Burkhead,229.87,NEP,RB,RexBurkhead270
271,David Moore,230.99,SEA,WR,DavidMoore271
272,Danny Amendola,233.12,DET,WR,DannyAmendola272
273,Demarcus Robinson,237.14,KCC,WR,DemarcusRobinson273
274,Elijah McGuire,237.78,FA,RB,ElijahMcGuire274
275,Dawson Knox,238.13,BUF,TE,DawsonKnox275
276,Phillip Dorsett,239.00,NEP,WR,PhillipDorsett276
277,Matt LaCosse,240.16,NEP,TE,MattLaCosse277
278,Taylor Gabriel,240.62,CHI,WR,TaylorGabriel278
279,Kelvin Harmon,241.91,WAS,WR,KelvinHarmon279
280,Hayden Hurst,242.71,BAL,TE,HaydenHurst280
281,Jonnu Smith,243.27,TEN,TE,JonnuSmith281
282,Michael Crabtree,243.75,FA,WR,MichaelCrabtree282
283,KeeSean Johnson,244.10,ARI,WR,KeeSeanJohnson283
284,Ryan Tannehill,246.61,TEN,QB,RyanTannehill284
285,Ricky Seals-Jones,247.57,CLE,TE,RickySealsJones285
286,Will Grier,248.02,CAR,QB,WillGrier286
287,Teddy Bridgewater,248.18,NOS,QB,TeddyBridgewater287
288,Alfred Blue,249.99,FA,RB,AlfredBlue288
289,Bruce Anderson,251.52,IND,RB,BruceAnderson289
290,Josh Reynolds,251.64,LAR,WR,JoshReynolds290
291,Wayne Gallman,251.99,NYG,RB,WayneGallman291
292,Rodney Anderson,252.37,CIN,RB,RodneyAnderson292
293,Keelan Cole,252.43,JAC,WR,KeelanCole293
294,Damarea Crockett,252.51,GBP,RB,DamareaCrockett294
295,C.J. Uzomah,253.20,CIN,TE,CJUzomah295
296,Jay Ajayi,253.77,FA,RB,JayAjayi296
297,Jesse James,255.79,DET,TE,JesseJames297
298,Doug Martin,256.19,FA,RB,DougMartin298
299,Deon Cain,258.65,PIT,WR,DeonCain299
300,Riley Ridley,259.09,CHI,WR,RileyRidley300
301,Theo Riddick,261.37,DEN,RB,TheoRiddick301
302,Kahale Warring,263.87,HOU,TE,KahaleWarring302
303,Qadree Ollison,263.92,ATL,RB,QadreeOllison303
304,Jake Kumerow,266.07,GBP,WR,JakeKumerow304
305,Jordan Thomas,267.30,HOU,TE,JordanThomas305
306,Chris Conley,267.63,JAC,WR,ChrisConley306
307,Breshad Perriman,268.39,TBB,WR,BreshadPerriman307
308,Trayveon Williams,270.83,CIN,RB,TrayveonWilliams308
309,Jordan Scarlett,275.08,CAR,RB,JordanScarlett309
310,Brian Hill,278.35,ATL,RB,BrianHill310
311,Adam Shaheen,279.05,CHI,TE,AdamShaheen311
312,Devine Ozigbo,285.78,JAC,RB,DevineOzigbo312
313,Ty Johnson,290.48,DET,RB,TyJohnson313
314,Justin Watson,290.82,TBB,WR,JustinWatson314
315,Blake Jarwin,291.08,DAL,TE,BlakeJarwin315
316,Devontae Booker,292.22,DEN,RB,DevontaeBooker316
317,Darius Slayton,293.49,NYG,WR,DariusSlayton317
