,Player,Pos,Games,ADP,Pass Comp,Pass Att,Pass Yds,Pass Yds Per Game,Pass Yds Avg,Pass TD,Pass TD Per Game,Int,Rush Att,Rush Yds,Rush Yds Per Game,Rush Yds Avg,Rush TD,Rush TD Per Game,Rec,Rec Yds,Rec Yds Per Game,Rec Yds Avg,Rec TD,Rec TD Per Game,Fumbles Lost,Fantasy Total,Fantasy Avg,UID,Rush Avg,Rec Avg
0,Kenny Golladay,WR,16,142.43,0,0,0,0,0,0,0,0,1,8,0.5,0,0,0,70,1063,66.4375,0,5,0.3125,0,137.1,8.56875,KennyGolladay121,8,15.18571429
0,Josh Doctson,WR,16,142.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,532,33.25,0,2,0.125,0,65.2,4.075,JoshDoctson122,12.09090909,
0,Latavius Murray,RB,16,142.93,0,0,0,0,0,0,0,0,140,578,36.125,0,6,0.375,22,141,8.8125,0,0,0,0,107.9,6.74375,LataviusMurray123,4.128571429,6.409090909
0,Ty Montgomery,RB,15,144.39,0,0,0,0,0,0,0,0,41,188,12.53333333,0,1,0.066666667,25,235,15.66666667,0,0,0,1,46.3,3.086666667,TyMontgomery126,4.585365854,9.4
0,Mitchell Trubisky,QB,16,145.51,289,434,3223,201.4375,11.15224913,24,1.5,12,68,421,26.3125,0,3,0.1875,0,0,0,0,0,0,3,255.02,15.93875,MitchellTrubisky127,6.191176471,
0,Blake Bortles,QB,16,148.58,243,403,2718,169.875,11.18518519,13,0.8125,11,58,365,22.8125,0,1,0.0625,0,0,0,0,0,0,4,173.22,10.82625,BlakeBortles128,6.293103448,
0,Michael Gallup,WR,16,150.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,507,31.6875,0,2,0.125,0,62.7,3.91875,MichaelGallup130,15.36363636,
0,Tyler Lockett,WR,16,150.94,0,0,0,0,0,0,0,0,13,69,4.3125,0,0,0,57,965,60.3125,0,10,0.625,0,163.4,10.2125,TylerLockett131,5.307692308,16.92982456
0,Ted Ginn,WR,7,152.6,0,0,0,0,0,0,0,0,3,26,3.714285714,0,0,0,17,209,29.85714286,0,2,0.285714286,1,33.5,4.785714286,TedGinnJr132,8.666666667,12.29411765
0,Mohamed Sanu,WR,16,153.59,0,0,0,0,0,0,0,0,7,44,2.75,0,0,0,66,838,52.375,0,4,0.25,1,110.2,6.8875,MohamedSanu134,6.285714286,12.6969697
0,Case Keenum,QB,16,153.79,365,586,3890,243.125,10.65753425,18,1.125,15,26,93,5.8125,0,2,0.125,0,0,0,0,0,0,2,214.9,13.43125,CaseKeenum135,3.576923077,
0,Eli Manning,QB,16,153.84,380,576,4299,268.6875,11.31315789,21,1.3125,11,15,20,1.25,0,1,0.0625,0,0,0,0,0,0,4,233.96,14.6225,EliManning136,1.333333333,
0,Anthony Miller,WR,16,155.52,0,0,0,0,0,0,0,0,6,26,1.625,0,0,0,33,423,26.4375,0,7,0.4375,0,86.9,5.43125,AnthonyMiller138,4.333333333,12.81818182
0,D'Onta Foreman,RB,4,155.61,0,0,0,0,0,0,0,0,7,-1,-0.25,0,0,0,2,28,7,0,1,0.25,0,8.7,2.175,DOntaForeman139,-0.142857143,14
0,Baker Mayfield,QB,16,157.03,310,486,3725,232.8125,12.01612903,27,1.6875,14,39,131,8.1875,0,0,0,0,0,0,0,0,0,3,236.1,14.75625,BakerMayfield141,3.358974359,
0,DeSean Jackson,WR,16,157.6,0,0,0,0,0,0,0,0,6,29,1.8125,0,1,0.0625,41,774,48.375,0,4,0.25,0,110.3,6.89375,DeSeanJackson142,4.833333333,18.87804878
0,Chris Godwin,WR,16,158.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,842,52.625,0,7,0.4375,1,124.2,7.7625,ChrisGodwin144,14.27118644,
0,Eric Ebron,TE,16,159.42,0,0,0,0,0,0,0,0,3,-8,-0.5,0,1,0.0625,66,750,46.875,0,13,0.8125,1,156.2,9.7625,EricEbron145,-2.666666667,11.36363636
0,Mike Gesicki,TE,16,159.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,202,12.625,0,0,0,1,18.2,1.1375,MikeGesicki147,9.181818182,
0,Nyheim Hines,RB,16,161.38,0,0,0,0,0,0,0,0,85,314,19.625,0,2,0.125,63,425,26.5625,0,2,0.125,0,97.9,6.11875,NyheimHines148,3.694117647,6.746031746
0,Lamar Jackson,QB,16,161.76,99,170,1201,75.0625,12.13131313,6,0.375,3,147,695,43.4375,0,5,0.3125,0,0,0,0,0,0,4,157.54,9.84625,LamarJackson150,4.727891156,
0,Courtland Sutton,WR,16,162.33,0,0,0,0,0,0,0,0,1,-1,-0.0625,0,0,0,42,704,44,0,4,0.25,0,94.3,5.89375,CourtlandSutton151,-1,16.76190476
0,Jared Cook,TE,16,162.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,896,56,0,6,0.375,0,125.6,7.85,JaredCook152,13.17647059,
0,Josh Rosen,QB,16,163.34,217,393,2278,142.375,10.49769585,11,0.6875,14,23,138,8.625,0,0,0,0,0,0,0,0,0,5,110.92,6.9325,JoshRosen154,6,
0,Theo Riddick,RB,16,164.31,0,0,0,0,0,0,0,0,40,171,10.6875,0,0,0,61,384,24,0,0,0,0,55.5,3.46875,TheoRiddick156,4.275,6.295081967
0,Tyrell Williams,WR,16,165.29,0,0,0,0,0,0,0,0,2,15,0.9375,0,0,0,41,653,40.8125,0,5,0.3125,0,96.8,6.05,TyrellWilliams158,7.5,15.92682927
0,John Ross,WR,16,165.58,0,0,0,0,0,0,0,0,4,9,0.5625,0,0,0,21,210,13.125,0,7,0.4375,0,63.9,3.99375,JohnRoss159,2.25,10
0,Sam Darnold,QB,16,165.58,239,414,2865,179.0625,11.9874477,17,1.0625,15,44,138,8.625,0,1,0.0625,0,0,0,0,0,0,2,168.4,10.525,SamDarnold160,3.136363636,
0,Tyrod Taylor,QB,16,166.39,42,85,473,29.5625,11.26190476,2,0.125,2,16,125,7.8125,0,1,0.0625,0,0,0,0,0,0,0,41.42,2.58875,TyrodTaylor161,7.8125,
0,James Conner,RB,16,166.5,0,0,0,0,0,0,0,0,215,973,60.8125,0,12,0.75,55,497,31.0625,0,1,0.0625,2,221,13.8125,JamesConner162,4.525581395,9.036363636
0,Ryan Tannehill,QB,16,168.06,176,274,1979,123.6875,11.24431818,17,1.0625,9,32,145,9.0625,0,0,0,0,0,0,0,0,0,4,135.66,8.47875,RyanTannehill163,4.53125,
0,Vance McDonald,TE,16,168.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,610,38.125,0,4,0.25,1,83,5.1875,VanceMcDonald164,12.2,
0,Jordan Wilkins,RB,16,168.49,0,0,0,0,0,0,0,0,60,336,21,0,1,0.0625,16,85,5.3125,0,0,0,2,44.1,2.75625,JordanWilkins165,5.6,5.3125
0,Cameron Brate,TE,16,169.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,289,18.0625,0,6,0.375,1,62.9,3.93125,CameronBrate166,9.633333333,
0,Charles Clay,TE,16,170.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,184,11.5,0,0,0,1,16.4,1.025,CharlesClay167,8.761904762,
0,Javorius Allen,RB,16,170.92,0,0,0,0,0,0,0,0,41,110,6.875,0,3,0.1875,35,196,12.25,0,2,0.125,1,58.6,3.6625,JavoriusAllen169,2.682926829,5.6
0,Hayden Hurst,TE,16,172.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,163,10.1875,0,1,0.0625,0,22.3,1.39375,HaydenHurst172,0,12.53846154
0,Doug Martin,RB,16,172.86,0,0,0,0,0,0,0,0,172,723,45.1875,0,4,0.25,18,116,7.25,0,0,0,3,101.9,6.36875,DougMartin173,4.203488372,6.444444444
0,Joe Flacco,QB,16,173.93,232,379,2465,154.0625,10.625,12,0.75,6,19,45,2.8125,0,0,0,0,0,0,0,0,0,1,137.1,8.56875,JoeFlacco174,2.368421053,
0,Austin Hooper,TE,16,175.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,660,41.25,0,4,0.25,0,90,5.625,AustinHooper175,9.295774648,
0,Dede Westbrook,WR,16,175.64,0,0,0,0,0,0,0,0,9,98,6.125,0,0,0,66,717,44.8125,0,5,0.3125,2,107.5,6.71875,DedeWestbrook176,10.88888889,10.86363636
0,John Brown,WR,16,176.08,0,0,0,0,0,0,0,0,3,4,0.25,0,0,0,42,715,44.6875,0,5,0.3125,0,101.9,6.36875,JohnBrown177,1.333333333,17.02380952
0,LeGarrette Blount,RB,16,176.21,0,0,0,0,0,0,0,0,154,418,26.125,0,5,0.3125,10,67,4.1875,0,0,0,1,76.5,4.78125,LeGarretteBlount178,2.714285714,6.7
0,T.J. Yeldon,RB,16,176.88,0,0,0,0,0,0,0,0,104,414,25.875,0,1,0.0625,55,487,30.4375,0,4,0.25,1,118.1,7.38125,TJYeldon179,3.980769231,8.854545455
0,James Washington,WR,16,177.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,217,13.5625,0,1,0.0625,0,27.7,1.73125,JamesWashington180,13.5625,
0,Antonio Gates,TE,16,178.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,333,20.8125,0,2,0.125,1,43.3,2.70625,AntonioGates183,11.89285714,
