Rank,Player,Avg Pick,Team,Pos,UID
216,Marqise Lee,190.49,JAC,WR,MarqiseLee216
217,Robert Griffin III,191.34,WAS,QB,RobertGriffinIII217
218,Richard Rodgers,192.50,GBP,TE,RichardRodgers218
219,Allen Hurns,192.94,JAC,WR,AllenHurns219
221,Dan Herron,193.19,IND,RB,DanHerron221
222,Kenny Britt,193.31,STL,WR,KennyBritt222
223,Jace Amaro,193.88,NYJ,TE,JaceAmaro223
224,James White,194.75,NEP,RB,JamesWhite224
225,Stevan Ridley,195.12,NYJ,RB,StevanRidley225
226,Jeff Janis,196.45,GBP,WR,JeffJanis226
227,Khiry Robinson,197.86,NOS,RB,KhiryRobinson227
232,Justin Hunter,199.63,TEN,WR,JustinHunter232
234,Malcom Floyd,199.66,SDC,WR,MalcomFloyd234
235,James Starks,200.09,GBP,RB,JamesStarks235
236,Jeremy Langford,200.88,CHI,RB,JeremyLangford236
237,Branden Oliver,201.30,SDC,RB,BrandenOliver237
239,Cole Beasley,202.09,DAL,WR,ColeBeasley239
240,Marquess Wilson,202.14,CHI,WR,MarquessWilson240
242,Tyrod Taylor,203.39,BUF,QB,TyrodTaylor242
243,Stefon Diggs,203.58,MIN,WR,StefonDiggs243
244,Chris Johnson,204.04,ARI,RB,ChrisJohnson244
245,Mohamed Sanu,205.82,CIN,WR,MohamedSanu245
247,Lance Dunbar,207.09,DAL,RB,LanceDunbar247
248,Josh Robinson,207.59,FA,RB,JoshRobinson248
249,Josh Huff,208.18,PHI,WR,JoshHuff249
250,Karlos Williams,208.92,BUF,RB,KarlosWilliams250
251,Tavon Austin,209.01,STL,WR,TavonAustin251
252,Cecil Shorts,209.17,HOU,WR,CecilShorts252
253,Mike Davis,209.25,SFO,RB,MikeDavis253
254,Sammie Coates,209.65,PIT,WR,SammieCoates254
255,Jared Cook,210.57,STL,TE,JaredCook255
256,Chris Conley,211.13,KCC,WR,ChrisConley256
259,Chris Polk,211.70,HOU,RB,ChrisPolk259
260,Lorenzo Taliaferro,212.07,BAL,RB,LorenzoTaliaferro260
261,Virgil Green,212.40,DEN,TE,VirgilGreen261
262,Devin Smith,212.53,NYJ,WR,DevinSmith262
264,Danny Amendola,212.94,NEP,WR,DannyAmendola264
266,Justin Hardy,214.41,ATL,WR,JustinHardy266
267,Leonard Hankerson,215.23,BUF,WR,LeonardHankerson267
268,Ben Watson,215.25,NOS,TE,BenWatson268
269,Clive Walford,215.31,OAK,TE,CliveWalford269
271,Nick Toon,215.87,STL,WR,NickToon271
273,Mychal Rivera,216.50,OAK,TE,MychalRivera273
274,Kirk Cousins,217.35,WAS,QB,KirkCousins274
277,Geno Smith,218.45,NYJ,QB,GenoSmith277
280,Zach Zenner,220.94,DET,RB,ZachZenner280
281,Stedman Bailey,221.62,STL,WR,StedmanBailey281
283,Trent Richardson,223.42,FA*,RB,TrentRichardson283
284,Ryan Fitzpatrick,223.57,NYJ,QB,RyanFitzpatrick284
285,Robert Woods,223.75,BUF,WR,RobertWoods285
287,Ray Rice,225.15,FA*,RB,RayRice287
288,Matt Asiata,225.58,MIN,RB,MattAsiata288
289,Andrew Hawkins,225.94,CLE,WR,AndrewHawkins289
293,Niles Paul,227.51,WAS,TE,NilesPaul293
294,Ahmad Bradshaw,227.61,IND,RB,AhmadBradshaw294
295,DeAndre Smelter,228.19,SFO,WR,DeAndreSmelter295
296,Greg Jennings,228.22,MIA,WR,GregJennings296
298,Kamar Aiken,228.42,BAL,WR,KamarAiken298
301,Damien Williams,230.01,MIA,RB,DamienWilliams301
304,Duron Carter,230.13,FA,WR,DuronCarter304
305,Robert Turbin,230.30,DAL,RB,RobertTurbin305
307,Robert Housler,230.60,CHI,TE,RobertHousler307
311,Thomas Rawls,232.10,SEA,RB,ThomasRawls311
312,Kenny Bell,232.19,TBB,WR,KennyBell312
314,Ka'Deem Carey,232.96,CHI,RB,KaDeemCarey314
315,Mark Sanchez,233.06,PHI,QB,MarkSanchez315
316,Scott Chandler,233.39,NEP,TE,ScottChandler316
317,Pierre Thomas,234.56,WAS,RB,PierreThomas317
318,Albert Wilson,235.27,KCC,WR,AlbertWilson318
319,Ryan Williams,236.93,FA*,RB,RyanWilliams319
320,Jacob Tamme,237.18,ATL,TE,JacobTamme320
321,Jimmy Garoppolo,237.96,NEP,QB,JimmyGaroppolo321
322,Travaris Cadet,238.39,NOS,RB,TravarisCadet322
323,Brian Hartline,240.27,CLE,WR,BrianHartline323
324,Tre McBride,241.27,TEN,WR,TreMcBride324
325,Corey Brown,241.64,CAR,WR,CoreyBrown325
326,Brian Hoyer,242.22,HOU,QB,BrianHoyer326
327,Johnny Manziel,242.62,CLE,QB,JohnnyManziel327
328,Chris Matthews,242.65,BAL,WR,ChrisMatthews328
329,Brock Osweiler,242.89,DEN,QB,BrockOsweiler329
330,Crockett Gillmore,245.57,BAL,TE,CrockettGillmore330
331,Jermaine Kearse,245.91,SEA,WR,JermaineKearse331
332,Marlon Brown,246.15,BAL,WR,MarlonBrown332
333,Josh McCown,247.37,CLE,QB,JoshMcCown333
334,Aaron Dobson,247.41,NEP,WR,AaronDobson334
335,Zac Stacy,247.93,NYJ,RB,ZacStacy335
336,Jesse James,248.86,PIT,TE,JesseJames336
337,Ryan Mallett,250.57,BAL,QB,RyanMallett337
338,Harry Douglas,250.90,TEN,WR,HarryDouglas338
339,Tyler Gaffney,251.36,NEP,RB,TylerGaffney339
340,Rashad Greene,252.22,JAC,WR,RashadGreene340
341,Gavin Escobar,252.54,DAL,TE,GavinEscobar341
342,Taylor Gabriel,259.02,CLE,WR,TaylorGabriel342
343,Benny Cunningham,262.53,STL,RB,BennyCunningham343
344,Jarius Wright,267.11,MIN,WR,JariusWright344
345,Riley Cooper,273.44,PHI,WR,RileyCooper345
